"User","Date","Rating","Title","Comment"
"eddie_baggins","14 December 2023","
            8/10
            "," 2023's most enjoyable holiday hit
","Proving that his work on the one two punch that was Paddington and then it's universally praised sequel was not per chance, British director Paul King has managed to bring the same amount of energy, charm, heart and smarts he delivered with his marmalade loving bear to this high profile Willy Wonka prequel that should become the crowd pleasing hit of this years festive/holiday period.Utilising his comedy background and career making work on the cult UK TV series The Mighty Boosh (fans of which will be pleased to see a key role for Rich Fulcher here), King ensures that his musical infused adventure that follows Timothée Chalamet's young Willy Wonka during his first attempts to conquer the chocolate world with his magical inventions and colorful showmanship, is a film that constantly is on the move and one that ensures it's filled to the brim with wonder, whimsy and wackiness that should find it appealing to a wide ranging age-group and audience.It's not as though the world was exactly crying out to find out more about the beloved character many of us fell in love with either in Roald Dahl's original book or the Gene Wilder starring classic film from 1971 but King and his screenwriting partner Simon Farnaby instantly make us engaged and interested in this tale that has a wide ranging reach and works in a number of facets without ever losing momentum.Rarely pausing for breath between its colourful character interactions, enjoyable song and dance numbers and more poignant aspects that make Wonka more than just all sugar and no substance, King's enjoyable ride harbours a clear labour of love at its core that gels perfectly with its more old-school film-making vibe and delivery that once more acts as an example that Hollywood's incessant nature to try and be ""hip"" and boundary pushing isn't always needed to find a winning formula.Within King's winning Wonka formula he has managed to create and gift a number of memorably fun performances from his talented cast and while Chalamet gives it his best shot in easily his most challenging performance yet, his role as Willy Wonka doesn't always seem ideally suited to his acting sensibilities, it's in the supporting cast that Wonka finds its comedic gold.From Olivia Colman's yellow-toothed nasty Mrs. Scrubbit, Tom Davis's wild-haired Bleacher, Keegan-Michael Key's sweet-toothed police chief and Hugh Grant's (bizarrely controversial) scene-stealing Oompa-Loompa, Wonka's cast of newbies and industry vets alike all have a blast playing their parts here and Wonka's overall feeling and end result seems to be the product of a film that was a lot of fun to make and bring to life.There may not be any groundbreaking new messages taking place here and I don't suspect Wonka will ever be regarded as the type of family friendly all-time classic as its original source material or first film iteration are seen as but it would take a hard-hearted and Scrubbit like viewer to not find enjoyment from such an entertaining and imaginative new take on one of the worlds most well-known properties.Final Say -Another resounding success for director Paul King, who has here further established his reputation as the leader of family friendly cinematic adventures, Wonka is a charming and enjoyable big screen ride that deserves to be this years most resounding holiday hit.4 unsolved murders out of 5.Jordan and Eddie (The Movie Guys)"
"masonsaul","9 December 2023","
            8/10
            "," The best version of a cynical idea
","On paper, Wonka is a cynical cash grab of an idea but in the hands of the extremely talented duo of Paul King and Simon Farnaby it becomes another heartwarming story of a kind person who just wants to make the world a better place. Even if it feels its run time more than King and Faranby's previous work it still remains thoroughly entertaining and emotionally investing.Timothée Chalamet lacks the darker edge with this interpretation of Willy Wonka and that really doesn't matter considering what the film is going for. His Wonka is innocent to a fault, morally pure with a high level of quirk that Chalamet is able to communicate in his enunciation and movement. It's a nice change of pace compared to his usual roles.The supporting cast is full of comedians who take it in turns stealing scenes. Hugh Grant's Oompa Loompa is an uncanny highlight who takes a while to appear and is absolutely worth the wait. Paterson Joseph excels at playing a full on pantomime villain complimented by Matt Lucas and Matthew Baynton to make for a delightfully evil trio.Paul King's direction brings the expected whimsy with a nice level of energy to the musical numbers. The songs by Neil Hannon are generally fine, suitably entertaining in the moment without staying power so it successfully goes back to Pure Imagination a few times, with Joby Talbot's score happily sprinkling it in throughout."
"imseeg","9 December 2023","
            6/10
            "," It looks the part, the actors are terrific, but the actual story and the songs fail to really excite me.
","Memories of Gene Wilder's Willy Wonka performance come to mind and whereas his 1971 version was magical and witty, this 2023 version of Wonka is a bit underwhelming to be honest...The bad: the songs just dont excite me. They just dont. They are not terrible, but quite average. The songs in the 1971 version of Willy Wonka were superb. I can still remember them to this very day!More bad: there is a lack of magic and surprise. The story just doesnt take me on a trip like the original did. Sorry, that I keep comparing this one to the original. Perhaps I shouldnt?Not any good then? This movie will surely please the young kids who ofcourse are the target audience for this movie. It's a nice fantasy musical movie for sure, with a bunch of TERRIFIC English actors, who lift this movie up. Timothee Chalamet did an allright job as well.Nothing to really dislike about it, but nothing to get really excited about it either unfortunately, for me as a grownup fan of the original Willy Wonka with Gene Wilder."
"DeltaHomicide","6 December 2023","
            9/10
            "," An Imaginative Fantastic Journey
","I went into this piece of cinema blind, taking a half day off work to take my young daughter to see it at the theater.Boy, was I happy to do so. The story is original, the actors superb, the music phenomenal, and the production was stupendous. It's a visual and auditory feast for the senses. I even shed a little tear at the end.Fans of the original will love it, and as mentioned, my little girl who's normally quite antsy watching anything outside of an animated feature was glued to her seat. I can't wait to watch it again with the family. This is a big win for the fantasy / musical genre of film."
"Sleepin_Dragon","8 December 2023","
            8/10
            "," A perfect festive treat.
","Ever wonder how Willy Wonka made it, how he would one day be in a position to one day send out those golden tickets? This film gives us Willy Wonka's early years.I had high hopes for it, I was not disappointed, I loved it. A movie of pure fantasy, wonder and escapism, this really was a wonderful, pre Christmas sweet treat.I loved the story, the energy, the laughs, and best of all, a killer performance from Timothée Chalamet, I thought he was fabulous, not quite sure i see him turning into Gene Wilder or Johnny Drop's character, perhaps the former. Olivia Colman, as always very good.If I had one criticism, I'd say that it's perhaps just a little too over produced, a little too stagey at times, clearly a painstaking amount of time and effort went into this, but in this instance, less could have been more.Is this the reason why Dune 2 was delayed? With Chalamet rightly deserving The plaudits for his performance here?8/10."
"Padreviews","14 December 2023","
            10/10
            "," Come with me to a world of your imagination
","WOW just wow this exceeded my expectations by a long way , I don't really rate the Tim Burton remake with his stablemate Jonny Depp it misses the charm of the cult classic 1971 sleeper hit with Gene Wilder but this was a brand new story , a brand new musical with instantly loveable songs & thankfully the song we weee all waiting for being added to full effect at just the right moment. The common theme here is good vs evil & corporate greed suppressing the competition using corruption with good trumping over evil as only Hollywood can do , the sets were amazing using Harry Potters leaveden studios merged with scene of Somerset's gem Bath city . Story , acting and cinematography all absolutely brilliant and the back story was as emotional as Oliver , this has all the makings of a cult classic and great stage musical very much similar to the greatest show - go see itPad. A 10/10."
"BA_Harrison","8 December 2023","
            3/10
            "," The Candy Man can't.
","Willy Wonka (Timothée Chalamet) dreams of opening a chocolate shop in the city, but is plagued by bad luck, tricked into becoming a slave for nefarious hotel proprietors Mrs. Scrubbit (Olivia Coleman) and Bleacher (Tom Davis), and then targeted by the chocolate cartel, who see to it that Wonka's enterprise is a failure. Fortunately, help comes in the form of orphan Noodle (Calah Lane) and Wonka's co-workers in the hotel laundry.This latest film inspired by Roald Dahl's classic is a sickly confection, the main ingredients being forgettable songs, a predictable plot, and insipid humour, with another drippy performance from Chalamet as the titular chocolatier.Wonka has none of Dahl's deliciously dark content -- by the end of this overly saccharine tale, which ladles on the schmaltz, I actually felt a little queasy; the 2005 Tim Burton/Johnny Depp movie wasn't great, but at least I didn't want to hurl by the end of it. Putting it in chocolate terms, Wonka is the cinematic equivalent of an American chocolate bar, with its pukey aftertaste, not 'a glass and a half' of delicious British chocolate (anyone who has ever compared the two will know what I mean).On a slightly more positive note, Hugh Grant puts in the only commendable performance as an Oompa-Loompa, and some of the visuals are impressive (although the film relies far too heavily on CGI).3/10."
"ubik-79634","6 December 2023","
            6/10
            "," Rather fun but too calibrated and polished
","Origin stories can be hit (""Wicked"" the musical) or miss (who even remembers ""Oz the Great and Powerful""?). On that scale ""Wonka"" is closer to hit than miss, although it's far from a masterpiece. The film is funny, and has a number of witty ideas (many of which make it in the trailer, like the fine against daydreaming). It also has delicious characters, starting with Hugh Grant's Oompa Loompa, the real memorable character of the piece. It all rings true to the spirit of Roald Dahl, although the double missing mommy storyline felt somewhat forced. What prevents this movie from being great, however, is that it often stays in safe, blockbuster-friendly territory, and resists the Call of the Absurd that could have transcended it. The film is often more amusing than really funny and rather more cute than touching, while its dose of whimsy always feels extremely calibrated, like its CGI visuals. Yet it was easy to see how putting Mr Bean and a runaway giraffe together in a church could have led to wilder results than what we are ultimately given. Or how Keegan-Michael Key as the chief of police could have brought more as a supporting character. Maybe it's remembering Tim Burton's brand of humor, which was already in decline when he made ""Charlie and the Chocolate Factory"" and yet felt more satirical than this very tame ""Wonka"". Or maybe seeing sweet, cloying Chalamet in a fantasy version of Paris reminded me of ""The French Dispatch"" and Wes Anderson's inimitable take on whimsy. In fact, if you really want a memorable take on Dahl, you should check out Anderson's short movies - I find them more personal and authentic than this very corporate friendly, very safe ""Wonka""."
"bb52366","9 December 2023","
            10/10
            "," Loved It!
","As someone who grew up watching the Gene Wilder version, I will admit I was hesitant about this film especially after the lackluster trailers. That being said, five minutes into the film I realized I was in for a delicious treat.The simplest way I can describe this new Wonka is beautiful. I remember trying to spot some issues that I could put into this review while watching the film, but honestly there are none. Wonka is like a warm hot chocolate on a winter's day. Everything from the set pieces to the costume design is perfect. All of the actors involved do a great job as well, but I have to say Timothee Chalamet really carries the film.He is a fantastic young Wonka and I don't think any actor his age would've been able to pull it off like he did. I have always loved Timothee Chalamet as an actor, but this film for me cemented him as one of the best of his generation if not the best.Wonka is the only film in years that had me grinning pretty much the entire runtime. I laughed, I cried and by the end was filled with more joy than I have felt in a very long time. If that isn't enough for you to buy a ticket then I don't know what to tell you."
"magadalwarmayur","11 December 2023","
            6/10
            "," Wonka: A Whimsical, Chaotic Feast for the Eyes and for the eyes only
","Wonka, the latest film from director Paul King, takes us on a journey into the fantastical world of Willy Wonka's early life. While the film is visually delightful and boasts a strong performance from Timothée Chalamet, its chaotic story and forgettable music leave it feeling bittersweet.Chalamet shines as a young Willy Wonka, brimming with youthful enthusiasm and boundless creativity. His performance is a welcome departure from the more jaded interpretations of the character, injecting a much-needed dose of innocence and wonder. Olivia Colman and Hugh Grant round out the cast with memorable supporting roles, adding humor and depth to the film.The film's greatest strength lies in its visual feast. The vibrant sets and costumes bring the Chocolate Factory to life in all its fantastical glory, creating a truly immersive experience for the audience. King's signature whimsical style shines through, crafting a lighthearted and enjoyable atmosphere that is sure to captivate children and adults alike.However, Wonka's charm is somewhat diminished by its chaotic story. The plot feels convoluted and lacks focus, making it difficult to follow at times. This is further exacerbated by the film's foray into musical territory. While the songs are visually stunning, they are unfortunately plagued by generic melodies and forgettable lyrics. They ultimately feel disconnected from the narrative, serving as unwelcome interruptions rather than emotional enhancements.While not quite reaching the heights of King's Paddington films, Wonka manages to entertain with its whimsical tone and charming performances. Fans of Chalamet and visually stunning musicals will likely find much to enjoy. However, those seeking a more focused and emotionally resonant experience may find themselves left wanting. Overall, Wonka is a visually delightful and whimsical film that ultimately feels like a mixed bag of treats, leaving one with a taste of both satisfaction and disappointment."
